"wins","total_yeas","total","playoff_rate","week"
0,13,30,0.433333333333333,1
1,17,30,0.566666666666667,1
0,4,13,0.307692307692308,2
1,15,34,0.441176470588235,2
2,11,13,0.846153846153846,2
0,1,5,0.2,3
1,12,29,0.413793103448276,3
2,8,17,0.470588235294118,3
3,9,9,1,3
0,0,1,0,4
1,6,17,0.352941176470588,4
2,11,27,0.407407407407407,4
3,10,12,0.833333333333333,4
4,3,3,1,4
0,0,1,0,5
1,3,9,0.333333333333333,5
2,9,24,0.375,5
3,7,14,0.5,5
4,9,10,0.9,5
5,2,2,1,5
0,0,1,0,6
1,0,3,0,6
2,8,19,0.421052631578947,6
3,7,19,0.368421052631579,6
4,6,9,0.666666666666667,6
5,9,9,1,6
0,0,1,0,7
2,1,12,0.0833333333333333,7
3,10,22,0.454545454545455,7
4,6,10,0.6,7
5,9,11,0.818181818181818,7
6,4,4,1,7
1,0,1,0,8
2,0,7,0,8
3,4,15,0.266666666666667,8
4,9,18,0.5,8
5,9,10,0.9,8
6,5,6,0.833333333333333,8
7,3,3,1,8
2,0,7,0,9
3,1,7,0.142857142857143,9
4,7,21,0.333333333333333,9
5,7,8,0.875,9
6,9,11,0.818181818181818,9
7,4,4,1,9
8,2,2,1,9
2,0,4,0,10
3,1,8,0.125,10
4,2,11,0.181818181818182,10
5,8,16,0.5,10
6,8,10,0.8,10
7,7,7,1,10
8,2,2,1,10
9,2,2,1,10
2,0,2,0,11
3,0,7,0,11
4,2,12,0.166666666666667,11
5,1,6,0.166666666666667,11
6,12,18,0.666666666666667,11
7,6,6,1,11
8,7,7,1,11
10,2,2,1,11
2,0,1,0,12
3,0,5,0,12
4,0,8,0,12
5,2,11,0.181818181818182,12
6,4,11,0.363636363636364,12
7,12,12,1,12
8,7,7,1,12
9,3,3,1,12
11,2,2,1,12
2,0,1,0,13
3,0,3,0,13
4,0,7,0,13
5,0,9,0,13
6,2,10,0.2,13
7,9,11,0.818181818181818,13
8,9,9,1,13
9,7,7,1,13
10,1,1,1,13
11,1,1,1,13
12,1,1,1,13
